"subject","rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","responses","key_press","native","AOL","LearnType1","LearnType2","LearnType3","LearnType4","LearnType5","LearnType6","which","AOA","timespent","RESP","word1","word2","sameordiffstims","vowel_word1","vowel_word2","vowelcontrast","Group","tributesto","tributesto2"
"1fss","2946.3000000715","miete1500mitte","NULL","html-keyboard-response",19,1380717,"0.0-8.0-1.3","NULL","80","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre",1,"miete","mitte",1,"i_long","i_short","i_short/i_long","ns","i/I","0"
"1fss","3671.1000000238","mitte1500miete","NULL","html-keyboard-response",35,1427061,"0.0-8.0-1.11","NULL","81","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre",0,"mitte","miete",1,"i_short","i_long","i_short/i_long","ns","i/I","0"
"1fss","1174.3999999762","schief1500schiff","NULL","html-keyboard-response",41,1441815,"0.0-8.0-1.14","NULL","80","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre",1,"schief","schiff",1,"i_long","i_short","i_short/i_long","ns","i/I","0"
"1fss","166","schiff1500schief","NULL","html-keyboard-response",53,1472056,"0.0-8.0-1.20","NULL","80","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre",1,"schiff","schief",1,"i_short","i_long","i_short/i_long","ns","i/I","0"
"1fss","753.29999995232","schief1500schief","NULL","html-keyboard-response",71,1518793,"0.0-8.0-1.29","NULL","81","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre",0,"schief","schief",0,"i_long","i_long","i_long/i_long","ns","E/i","i/I"
"1fss","959.29999995232","schiff1500schiff","NULL","html-keyboard-response",77,1531869,"0.0-8.0-1.32","NULL","81","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre",0,"schiff","schiff",0,"i_short","i_short","i_short/i_short","ns","i/I","E/I"
"1fss","1164.8999999762","stiel1500still","NULL","html-keyboard-response",123,1644736,"0.0-8.0-1.55","NULL","80","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre",1,"stiel","still",1,"i_long","i_short","i_short/i_long","ns","i/I","0"
"1fss","1760.8000000715","still1500still","NULL","html-keyboard-response",125,1650052,"0.0-8.0-1.56","NULL","81","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre",0,"still","still",0,"i_short","i_short","i_short/i_short","ns","i/I","0"
"1fss","779","mitte1500mitte","NULL","html-keyboard-response",129,1659340,"0.0-8.0-1.58","NULL","81","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre",0,"mitte","mitte",0,"i_short","i_short","i_short/i_short","ns","i/I","0"
"1fss","551.39999997616","miete1500miete","NULL","html-keyboard-response",139,1684522,"0.0-8.0-1.63","NULL","81","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre",0,"miete","miete",0,"i_long","i_long","i_long/i_long","ns","i/I","0"
"1fss","1013","still1500stiel","NULL","html-keyboard-response",151,1713563,"0.0-8.0-1.69","NULL","80","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre",1,"still","stiel",1,"i_short","i_long","i_short/i_long","ns","i/I","0"
"1fss","631.69999992847","stiel1500stiel","NULL","html-keyboard-response",153,1717922,"0.0-8.0-1.70","NULL","81","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre",0,"stiel","stiel",0,"i_long","i_long","i_long/i_long","ns","u/i","i/I"
