"subject","rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","responses","key_press","group","native","AOL","LearnType1","LearnType2","LearnType3","LearnType4","LearnType5","LearnType6","which","AOA","timespent","audiostim","audiogiven","pic_choices","leftpic","rightpic","correct","vowelcontrast","lge"
"1fss","2169.3999999762","pics/scaled/biene_buehne.png","NULL","image-keyboard-response",163,1842563,"0.0-12.0-1.0","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","biene.wav","biene","biene_buehne","biene","buehne",1,"y/i","ns"
"1fss","3232.3000000715","pics/scaled/kiel_kuehl.jpg","NULL","image-keyboard-response",165,1847164,"0.0-12.0-1.1","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","kiel.wav","kiel","kiel_kuehl","kiel","kuehl",1,"y/i","ns"
"1fss","1141.7000000477","pics/scaled/spielen_spuelen.jpg","NULL","image-keyboard-response",167,1849934,"0.0-12.0-1.2","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spielen.wav","spielen","spielen_spuelen","spielen","spuelen",1,"y/i","ns"
"1fss","708.40000009537","pics/scaled/kiel_kuehl.jpg","NULL","image-keyboard-response",171,1854431,"0.0-12.0-1.4","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","kiel.wav","kiel","kiel_kuehl","kiel","kuehl",1,"y/i","ns"
"1fss","1135.5","pics/scaled/spielen_spuelen.jpg","NULL","image-keyboard-response",173,1857199,"0.0-12.0-1.5","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spuelen2.wav","spuelen","spielen_spuelen","spielen","spuelen",1,"y/i","ns"
"1fss","4343.2000000477","pics/scaled/still_stiel.jpg","NULL","image-keyboard-response",175,1863060,"0.0-12.0-1.6","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","stiel.wav","stiel","still_stiel","still","stiel",0,"i/I","ns"
"1fss","1025.2999999523","pics/scaled/schief_schiff.jpg","NULL","image-keyboard-response",177,1865549,"0.0-12.0-1.7","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","schief.wav","schief","schief_schiff","schief","schiff",1,"i/I","ns"
"1fss","3270.2999999523","pics/scaled/kiel_kuehl.jpg","NULL","image-keyboard-response",179,1870183,"0.0-12.0-1.8","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","kuehl.wav","kuehl","kiel_kuehl","kiel","kuehl",1,"y/i","ns"
"1fss","937.29999995232","pics/scaled/spielen_spuelen.jpg","NULL","image-keyboard-response",185,1881501,"0.0-12.0-1.11","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spielen.wav","spielen","spielen_spuelen","spielen","spuelen",1,"y/i","ns"
"1fss","702.60000002384","pics/scaled/biene_buehne.png","NULL","image-keyboard-response",187,1883505,"0.0-12.0-1.12","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","biene.wav","biene","biene_buehne","biene","buehne",1,"y/i","ns"
"1fss","NULL","pics/scaled/spielen_spulen.jpg","NULL","image-keyboard-response",193,1897224,"0.0-12.0-1.15","NULL","NULL","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spulen.wav","spulen","spielen_spulen","spulen","spielen",0,"i/u","ns"
"1fss","1897.5","pics/scaled/miete_mitte.jpg","NULL","image-keyboard-response",195,1900419,"0.0-12.0-1.16","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","mitte.wav","mitte","miete_mitte","mitte","miete",1,"i/I","ns"
"1fss","3424","pics/scaled/bluten_blueten.jpg","NULL","image-keyboard-response",197,1905176,"0.0-12.0-1.17","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","blueten.wav","blueten","bluten_blueten","blueten","bluten",0,"y/u","ns"
"1fss","NULL","pics/scaled/schief_schiff.jpg","NULL","image-keyboard-response",199,1911492,"0.0-12.0-1.18","NULL","NULL","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","schiff.wav","schiff","schief_schiff","schief","schiff",0,"i/I","ns"
"1fss","2618","pics/scaled/spielen_spulen.jpg","NULL","image-keyboard-response",201,1915749,"0.0-12.0-1.19","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spulen.wav","spulen","spielen_spulen","spulen","spielen",1,"i/u","ns"
"1fss","2642.7999999523","pics/scaled/tier_tour.jpg","NULL","image-keyboard-response",205,1922485,"0.0-12.0-1.21","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","tier.wav","tier","tier_tour","tier","tour",1,"i/u","ns"
"1fss","1302.7999999523","pics/scaled/stiel_stuhl.jpg","NULL","image-keyboard-response",207,1925306,"0.0-12.0-1.22","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","stuhl.wav","stuhl","stiel_stuhl","stiel","stuhl",1,"i/u","ns"
